,,,,,,,,,,,
NAME,DATE,RACENAME,COURSE,TRACK,DISTANCE,CONDITION,FINISHTIME,FINISHPOSITION,MARGIN,WEIGHT,SEX
Wonder Acute,"Oct 12,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.7,7,0.8,480 (-1),Mare
Wonder Acute,"Oct 5,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.7,10,3.8,481 (+8),Mare
Wonder Acute,"Sep 22,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:18.5,7,1.3,473 (-1),Mare
Wonder Acute,"September 15,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:27.6,9,1.8,474 (-4),Mare
Wonder Acute,"August 31,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:25.7,4,1.4,478 (0),Mare
Wonder Acute,"Aug 25,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,GOOD,1:25.5,7,1,478 (+4),Mare
Wonder Acute,"Aug 15,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,MUDDY,1:16.5,7,2.1,474 (-7),Mare
Wonder Acute,"Jul 28,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:19.3,6,0.8,481 (-3),Mare
Wonder Acute,"Jun 30,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:26.5,9,1.4,484 (-4),Mare
Wonder Acute,"Jun 23,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,MUDDY,1:24.2,9,1.4,488 (+2),Mare
Wonder Acute,"Jun 9,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.3,10,1.9,486 (+2),Mare
Wonder Acute,"Jun 02,2002",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,SLOPPY,1:15.8,6,0.6,484 (-8),Mare
Wonder Acute,"May 12,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,MUDDY,1:23.1,6,1,492 (+2),Mare
Wonder Acute,"May 05,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:26.9,3,1.3,490 (0),Mare
Wonder Acute,"Apr 22,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:28.1,7,0.4,490 (+5),Mare
Wonder Acute,"Apr 15,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,GOOD,1:26.5,10,1,485 (+1),Mare
Wonder Acute,"Apr 8,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:26.6,4,1.4,484 (-1),Mare
Wonder Acute,"Jan 6,2002",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,MUDDY,1:28.8,4,0.2,485 (0),Mare
Wonder Acute,"Dec 30,2001",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,SLOPPY,1:26.9,8,1.3,485 (0),Mare
Wonder Acute,"Dec 16,2001",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,GOOD,1:29.4,9,2,485 (+4),Mare
Wonder Acute,"Dec 2,2001",THREE-YEAR-OLD &amp; UP,MIZUSAWA,DIRT,1300M,FAST,1:27.0,8,1,481 (+3),Mare
Wonder Acute,"Nov 17,2001",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,GOOD,1:16.8,7,2.1,478 (-7),Mare
Wonder Acute,"November 10,2001",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.9,7,1.6,485 (+6),Mare
Wonder Acute,"November 3,2001",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.0,7,1,479 (-4),Mare
Wonder Acute,"October 20,2001",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,FAST,1:17.0,8,0.6,483 (+1),Mare
